,athlete_id,name,sex,born,height,weight,country,country_noc_x,edition,edition_id,country_noc_y,sport,event,result_id,athlete,pos,medal,isTeamSport,BMI
0,47153,Natalie Steward,Female,30 April 1943,174.0,70, Great Britain,GBR,1960 Summer Olympics,15,GBR,Swimming,"100 metres Freestyle, Women",5588,Natalie Steward,3,Bronze,False,23.120623596247853
1,47153,Natalie Steward,Female,30 April 1943,174.0,70, Great Britain,GBR,1960 Summer Olympics,15,GBR,Swimming,"100 metres Backstroke, Women",5605,Natalie Steward,2,Silver,False,23.120623596247853
2,50971,Beth Botsford,Female,21 May 1981,165.0,49, United States,USA,1996 Summer Olympics,24,USA,Swimming,"100 metres Backstroke, Women",8207,Beth Botsford,1,Gold,False,17.99816345270891
6,50163,Étienne Dagon,Male,13 September 1960,179.0,74, Switzerland,SUI,1984 Summer Olympics,21,SUI,Swimming,"200 metres Breaststroke, Men",7033,Étienne Dagon,3,Bronze,False,23.095409007209515
7,47749,Manuela Stellmach,Female,22 February 1970,175.0,65, East Germany  Germany,GDR,1988 Summer Olympics,22,GDR,Swimming,"200 metres Freestyle, Women",7480,Manuela Stellmach,3,Bronze,False,21.224489795918366
11,44998,Jan Andrew,Female,25 November 1943,162.0,54, Australia,AUS,1960 Summer Olympics,15,AUS,Swimming,"100 metres Butterfly, Women",5619,Jan Andrew,3,Bronze,False,20.576131687242793
17,45457,Ingrid Lempereur,Female,26 June 1969,164.0,57, Belgium,BEL,1984 Summer Olympics,21,BEL,Swimming,"200 metres Breaststroke, Women",7189,Ingrid Lempereur,3,Bronze,False,21.192742415229034
19,51308,Charlie Daniels,Male,24 March 1885,183.0,70, United States,USA,1904 Summer Olympics,3,USA,Swimming,"50 yards Freestyle, Men",4453,Charlie Daniels,3,Bronze,False,20.902385858042937
20,51308,Charlie Daniels,Male,24 March 1885,183.0,70, United States,USA,1904 Summer Olympics,3,USA,Swimming,"100 yards Freestyle, Men",4458,Charlie Daniels,2,Silver,False,20.902385858042937
21,51308,Charlie Daniels,Male,24 March 1885,183.0,70, United States,USA,1904 Summer Olympics,3,USA,Swimming,"220 yards Freestyle, Men",4463,Charlie Daniels,1,Gold,False,20.902385858042937
22,51308,Charlie Daniels,Male,24 March 1885,183.0,70, United States,USA,1904 Summer Olympics,3,USA,Swimming,"440 yards Freestyle, Men",4464,Charlie Daniels,1,Gold,False,20.902385858042937
24,51308,Charlie Daniels,Male,24 March 1885,183.0,70, United States,USA,1908 Summer Olympics,5,USA,Swimming,"100 metres Freestyle, Men",4479,Charlie Daniels,1,Gold,False,20.902385858042937
29,47233,Neil Cochran,Male,12 April 1965,174.0,70, Great Britain,GBR,1984 Summer Olympics,21,GBR,Swimming,"200 metres Individual Medley, Men",7064,Neil Cochran,3,Bronze,False,23.120623596247853
31,48187,Zoltán Halmay,Male,18 June 1881,187.0,83, Hungary,HUN,1900 Summer Olympics,2,HUN,Swimming,"200 metres Freestyle, Men",4404,Zoltán Halmay,2,Silver,False,23.735308416025617
32,48187,Zoltán Halmay,Male,18 June 1881,187.0,83, Hungary,HUN,1900 Summer Olympics,2,HUN,Swimming,"1,000 metres Freestyle, Men",4412,Zoltán Halmay,3,Bronze,False,23.735308416025617
33,48187,Zoltán Halmay,Male,18 June 1881,187.0,83, Hungary,HUN,1900 Summer Olympics,2,HUN,Swimming,"4,000 metres Freestyle, Men",4419,Zoltán Halmay,2,Silver,False,23.735308416025617
34,48187,Zoltán Halmay,Male,18 June 1881,187.0,83, Hungary,HUN,1904 Summer Olympics,3,HUN,Swimming,"50 yards Freestyle, Men",4453,Zoltán Halmay,1,Gold,False,23.735308416025617
35,48187,Zoltán Halmay,Male,18 June 1881,187.0,83, Hungary,HUN,1904 Summer Olympics,3,HUN,Swimming,"100 yards Freestyle, Men",4458,Zoltán Halmay,1,Gold,False,23.735308416025617
36,48187,Zoltán Halmay,Male,18 June 1881,187.0,83, Hungary,HUN,1908 Summer Olympics,5,HUN,Swimming,"100 metres Freestyle, Men",4479,Zoltán Halmay,2,Silver,False,23.735308416025617
39,47802,Thomas Fahrner,Male,2 July 1963,187.0,80, West Germany,FRG,1984 Summer Olympics,21,FRG,Swimming,"200 metres Freestyle, Men",6975,Thomas Fahrner,3,Bronze,False,22.877405702193368
44,51137,Sandy Neilson,Female,20 March 1956,173.0,63, United States,USA,1972 Summer Olympics,18,USA,Swimming,"100 metres Freestyle, Women",6335,Sandy Neilson,1,Gold,False,21.04981790236894
48,47542,Sabine Steinbach,Female,18 July 1952,164.0,56, East Germany,GDR,1968 Summer Olympics,17,GDR,Swimming,"400 metres Individual Medley, Women",6132,Sabine Steinbach,3,Bronze,False,20.820939916716245
52,51011,Kathy Ellis,Female,28 November 1946,169.0,59, United States,USA,1964 Summer Olympics,16,USA,Swimming,"100 metres Freestyle, Women",5770,Kathy Ellis,3,Bronze,False,20.65754000210077
54,51011,Kathy Ellis,Female,28 November 1946,169.0,59, United States,USA,1964 Summer Olympics,16,USA,Swimming,"100 metres Butterfly, Women",5804,Kathy Ellis,3,Bronze,False,20.65754000210077
59,50958,Jane Barkman,Female,20 September 1951,169.0,61, United States,USA,1968 Summer Olympics,17,USA,Swimming,"200 metres Freestyle, Women",6040,Jane Barkman,3,Bronze,False,21.35779559539232
64,46221,Rodolfo Falcón,Male,25 October 1972,186.0,83, Cuba,CUB,1996 Summer Olympics,24,CUB,Swimming,"100 metres Backstroke, Men",8023,Rodolfo Falcón,2,Silver,False,23.991212856977683
65,49319,Jolanda de Rover,Female,10 October 1963,185.0,70, Netherlands,NED,1984 Summer Olympics,21,NED,Swimming,"100 metres Backstroke, Women",7164,Jolanda de Rover,3,Bronze,False,20.45288531775018
66,49319,Jolanda de Rover,Female,10 October 1963,185.0,70, Netherlands,NED,1984 Summer Olympics,21,NED,Swimming,"200 metres Backstroke, Women",7173,Jolanda de Rover,1,Gold,False,20.45288531775018
70,47561,Kathrin Zimmermann,Female,22 December 1966,173.0,65, East Germany,GDR,1988 Summer Olympics,22,GDR,Swimming,"200 metres Backstroke, Women",7518,Kathrin Zimmermann,2,Silver,False,21.71806608974573
72,50881,Georgy Prokopenko,Male,21 February 1937,180.0,71, Soviet Union,URS,1964 Summer Olympics,16,URS,Swimming,"200 metres Breaststroke, Men",5699,Georgy Prokopenko,2,Silver,False,21.91358024691358
75,51149,Sue Pedersen,Female,16 October 1953,175.0,70, United States,USA,1968 Summer Olympics,17,USA,Swimming,"100 metres Freestyle, Women",6025,Sue Pedersen,2,Silver,False,22.857142857142858
77,51149,Sue Pedersen,Female,16 October 1953,175.0,70, United States,USA,1968 Summer Olympics,17,USA,Swimming,"200 metres Individual Medley, Women",6123,Sue Pedersen,2,Silver,False,22.857142857142858
